date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:26	9043/9043	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:24%20GMT	https://nisn.data.kemdikbud.go.id/	/Users/jeffhuen/websites/sman3klaten/nisn.data.kemdikbud.go.id/index.html	(from https://www.sman3klaten.sch.id/)
23:09:33	240/240	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Jul%202022%2006:09:27%20GMT	https://sman3klaten.sch.id/naik	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/naik.2f.delayed	(from https://www.sman3klaten.sch.id/)
23:09:38	7691/7691	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:22%20GMT	https://www2.cbox.ws/box/?boxid=2334629&boxtag=2w6cpw&sec=main	/Users/jeffhuen/websites/sman3klaten/www2.cbox.ws/box/indexf329.html	(from https://www.sman3klaten.sch.id/)
23:09:38	4606/4606	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:22%20GMT	https://www2.cbox.ws/box/?boxid=2334629&boxtag=2w6cpw&sec=form	/Users/jeffhuen/websites/sman3klaten/www2.cbox.ws/box/indexab5f.html	(from https://www.sman3klaten.sch.id/)
23:09:46	4450/4450	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:40%20GMT	https://sman3klaten.sch.id/naik/	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/naik/index.html	(from https://www.sman3klaten.sch.id/)
23:09:46	4442/4442	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:40%20GMT	https://sman3klaten.sch.id/lulus/	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/lulus/index.html	(from https://www.sman3klaten.sch.id/)
23:09:48	51836/51836	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202022%2013:02:51%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/berita/ppdbpengumuman1.jpg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/berita/ppdbpengumuman1.jpg	(from https://www.sman3klaten.sch.id/)
23:09:50	30958/30958	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Oct%202021%2010:07:42%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/berita/wahyupengawas.jpg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/berita/wahyupengawas.jpg	(from https://www.sman3klaten.sch.id/)
23:09:50	30621/30621	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:48%20GMT	https://sman3klaten.sch.id/index.php/web/berita/187	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/berita/187.html	(from https://www.sman3klaten.sch.id/)
23:09:52	28715/28715	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:50%20GMT	https://sman3klaten.sch.id/index.php/web/berita/186	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/berita/186.html	(from https://www.sman3klaten.sch.id/)
